frame,timestamp,processing_mode,speech_detector_implementation,is_speech,speech_probability,speech_gate_open,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score
217,2026-08-06T22:48:44.632157,shadow,silero,False,0.036744698882102966,True,False,True,False,1,0.3333333333333333,0.0017220300249722955,0.10020876826722339,3.888601096406105,0.0,0.0,1493.8307056252384,0.23407804737021662,0.06698642424877697,0.016554451851112484,0.0,0.0
218,2026-08-06T22:48:44.642595,shadow,silero,False,0.034145113080739975,True,False,True,False,1,0.3333333333333333,0.001447420852610896,0.0918580375782881,3.8871752565796185,0.0,0.0,1497.9123309638321,0.1651719747628414,0.047513002291995086,0.011819874522541095,0.0,0.0
219,2026-08-06T22:48:44.648748,shadow,silero,False,0.03177327290177345,True,False,True,False,1,0.3333333333333333,0.0012617302006564665,0.0918580375782881,3.8942225824053556,0.0,0.0,1495.0600778676828,0.12528115402128964,0.03584042334719409,0.00901734784549358,0.0,0.0
220,2026-08-06T22:48:44.654563,shadow,silero,False,0.029865071177482605,True,False,True,False,1,0.3333333333333333,0.001089576283247541,0.10020876826722339,3.868064141595056,0.0,0.0,1496.3649797151143,0.09433813658436324,0.026306111317404058,0.006651673398717015,0.0,0.0
221,2026-08-06T22:48:44.661930,shadow,silero,False,0.02761489525437355,True,False,True,False,1,0.3333333333333333,0.0008562885073282695,0.12317327766179541,3.8827048112475713,0.0,0.0,1486.701125528732,0.05790873828777676,0.016354820404556186,0.0040237375394175014,0.0,0.0
222,2026-08-06T22:48:44.672649,shadow,silero,False,0.025879517197608948,True,False,True,False,1,0.3333333333333333,0.0007223613360940514,0.09603340292275574,3.8809547662464667,0.0,0.0,1501.3106601370553,0.04119559001474524,0.011542585582921237,0.0029742419979423658,0.0,0.0
223,2026-08-06T22:48:44.680263,shadow,silero,False,0.02496476098895073,True,False,True,False,1,0.3333333333333333,0.0006826596780711157,0.10020876826722339,3.8493982027252622,0.0,0.0,1494.9426949750248,0.037431924101937804,0.010009191684541915,0.002543509165722046,0.0,0.0
224,2026-08-06T22:48:44.681845,shadow,silero,False,0.02496476098895073,True,False,True,False,1,0.3333333333333333,0.0006952021085815265,0.08350730688935282,3.885835090415932,0.0,0.0,1511.6558110209264,0.03768013735368267,0.010964340175997891,0.002782692383208194,0.0,0.0
225,2026-08-06T22:48:44.689662,shadow,silero,False,0.022982804104685783,True,False,True,False,1,0.3333333333333333,0.0007487360769292315,0.081419624217119,3.875079568903514,0.0,0.0,1491.3424275199152,0.04457683612360146,0.012554374249494132,0.0030954710897928553,0.0,0.0
226,2026-08-06T22:48:44.695664,shadow,silero,False,0.01823144592344761,True,False,True,False,1,0.3333333333333333,0.000624240331493447,0.09603340292275574,3.9080494611946386,0.0,0.0,1503.0743706151784,0.030085393634033505,0.009087856553843981,0.0022022336495194517,0.0,0.0
227,2026-08-06T22:48:44.701224,shadow,silero,False,0.01717348024249077,True,False,True,False,1,0.3333333333333333,0.0005956594320665891,0.10020876826722339,3.8761945171071757,0.0,0.0,1493.4908714668504,0.02805844207348602,0.007979940684246567,0.0019825661096623272,0.0,0.0
228,2026-08-06T22:48:44.706387,shadow,silero,False,0.015520608052611351,True,False,True,False,1,0.3333333333333333,0.00043103952514509904,0.07933194154488518,3.828414230625932,0.0,0.0,1507.8059747695117,0.014577559343096326,0.003986754017038425,0.0010675790233286243,0.0,0.0
229,2026-08-06T22:48:44.711478,shadow,silero,False,0.01344315242022276,True,False,True,False,1,0.3333333333333333,0.0003166341021889127,0.08977035490605428,3.872542843249044,0.0,0.0,1496.1911057024654,0.007702626099162637,0.002289702323167992,0.0005548431557517465,0.0,0.0
230,2026-08-06T22:48:44.720463,shadow,silero,False,0.012901706621050835,True,False,True,False,1,0.3333333333333333,0.00015896872957967288,0.10647181628392484,4.09958470064546,0.0,0.0,1800.7945223519678,0.0009668998634389894,0.0009559981312899068,0.0007042519908563987,0.0,0.0
231,2026-08-06T22:48:44.729304,shadow,silero,False,0.011990860104560852,True,False,True,False,1,0.3333333333333333,8.101510186529713e-05,0.0918580375782881,3.0402095469220956,0.0,0.0,1610.1805739157537,0.0004696986333869623,4.666387172224012e-05,3.386544486881563e-05,0.0,0.0
232,2026-08-06T22:48:44.743406,shadow,silero,False,0.009990500286221504,True,False,True,False,1,0.3333333333333333,0.00011833736815925715,0.081419624217119,3.4679304037390746,0.0,0.0,1517.667709870253,0.0009750744512906168,0.0002403207922192177,7.316186031440737e-05,0.0,0.0
