frame,timestamp,processing_mode,speech_detector_implementation,is_speech,speech_probability,speech_gate_open,is_whisper,whisper_processed,trigger,raw_score,whisper_probability,stage1_silero_threshold,stage1_silero_low_pass,stage1_enter_count,stage1_exit_count,stage1_candidate,zcr_threshold,zcr_pass,centroid_threshold,centroid_pass,group_a_pass,entropy_threshold,group_b_pass,total_band_energy,low_proportion,mid_proportion,high_proportion,low_proportion_threshold,group_c_pass,silero_rolling_median,high_silero_threshold,high_silero_raw,high_silero_count,high_silero_normal_evidence,silero_penalty,group_count,effective_group_score,grouped_v1_raw_is_whisper,stage2_is_whisper,stage2_consecutive_count,legacy_is_whisper,grouped_v1_is_whisper,whisper_classifier_implementation,final_trigger,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score
283,2026-08-07T11:58:00.624795,shadow,silero,False,0.001950911246240139,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.028926766823099585,0.7413597578221364,0.20798712088281776,0.050653121295045865,0.8,True,0.002486261771991849,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0005175211126787811,0.09394572025052192,3.8603186020677067,0.0,0.0,1501.162871965543,0.02144514084655052,0.006016394947985095,0.0014652310285639717,0.0,0.0
284,2026-08-07T11:58:00.630239,shadow,silero,False,0.0019667719025164843,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.03415868211900327,0.7284879937714863,0.21884567886116532,0.05266632736734853,0.8,True,0.002289024298079312,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0005658337685076581,0.081419624217119,3.9033527369782823,0.0,0.0,1496.8391801753357,0.024884189806750633,0.0074754799773360196,0.0017990123349166207,0.0,0.0
285,2026-08-07T11:58:00.636304,shadow,silero,False,0.0018120730528607965,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.0411028578325708,0.73567684026043,0.21280103574548637,0.0515221239940835,0.8,True,0.0021371650509536266,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0006186948755703428,0.08977035490605428,3.883119745796112,0.0,0.0,1492.4105650926463,0.03023842057593935,0.008746730718870542,0.0021177065377608988,0.0,0.0
286,2026-08-07T11:58:00.647112,shadow,silero,False,0.0017520856345072389,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.04687664282353918,0.729889092277281,0.21789915724011286,0.052211750482606074,0.8,True,0.00203013326972723,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0006635703992991914,0.10647181628392484,3.910853925936661,0.0,0.0,1499.0379238753244,0.03421475027947933,0.01021438096549497,0.0024475115785648743,0.0,0.0
287,2026-08-07T11:58:00.655095,shadow,silero,False,0.0016879434697329998,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.05404948366735078,0.7367091286345849,0.21013447785262462,0.053156393512790494,0.8,True,0.0019588415743783116,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0007114834974596013,0.14822546972860126,3.884575336377785,0.0,0.0,1491.6867568996174,0.03981874801572322,0.011357660028642719,0.002873075622984841,0.0,0.0
288,2026-08-07T11:58:00.657541,shadow,silero,False,0.0016879434697329998,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.05493589271055133,0.7326031258115988,0.215194740932285,0.05220213325611618,0.8,True,0.0019416513969190419,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0007199606793274877,0.11899791231732777,3.909449092276517,0.0,0.0,1496.9321745764548,0.04024620671900053,0.011821915199730897,0.002867770791819902,0.0,0.0
289,2026-08-07T11:58:00.665404,shadow,silero,False,0.0015837544342502952,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.05653576292754305,0.7337046474504091,0.21248887806258324,0.053806474487007656,0.8,True,0.0018722323002293706,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0007262733146822834,0.10855949895615867,3.8934324777830267,0.0,0.0,1501.613933550409,0.041480552007092886,0.01201322083488581,0.0030419900855643586,0.0,0.0
290,2026-08-07T11:58:00.672967,shadow,silero,False,0.0016507264226675034,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.06136996485158872,0.737168089916739,0.21157252283234287,0.05125938725091814,0.8,True,0.0017820793436840177,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0007583626235648924,0.10855949895615867,3.896479695567362,0.0,0.0,1494.5074219715432,0.04523997976790307,0.012984198289782834,0.0031457867939028213,0.0,0.0
291,2026-08-07T11:58:00.680846,shadow,silero,False,0.0015310628805309534,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.06681882371378198,0.7370678863638956,0.20870860855066475,0.054223505085439695,0.8,True,0.0017200145521201193,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.000794398771891557,0.12317327766179541,3.8900772584827377,0.0,0.0,1493.9142897291783,0.04925000916403903,0.013945663722295597,0.0036231508274473558,0.0,0.0
292,2026-08-07T11:58:00.691541,shadow,silero,False,0.0014953698264434934,True,False,True,False,3,0.0,0.005,False,0,0,False,0.08,True,1280.0,True,True,2.6,True,0.05610247592424057,0.7267930702213072,0.2208281410477924,0.05237878873090042,0.8,True,0.0016879434697329998,0.5,False,0,False,0,3,3,True,False,0,False,False,grouped_v1,False,0.0007270370357256488,0.1440501043841336,3.9397586662219783,0.0,0.0,1494.2345124200651,0.040774890723995774,0.012389005466528574,0.0029385797337162243,0.0,0.0
