frame,timestamp,is_whisper,trigger,raw_score,probability,rms,zcr,entropy,voicing,hnr,spectral_centroid,band_energy_low,band_energy_mid,band_energy_high,temporal_score,formant_score
119,2026-07-30T18:37:03.610918,False,False,1,0.3333333333333333,0.00043541302896988227,0.12526096033402923,3.89994879129156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,2026-07-30T18:37:03.611806,False,False,1,0.3333333333333333,0.0004832955825610556,0.1336116910229645,3.9095652604479785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,2026-07-30T18:37:03.612633,False,False,1,0.3333333333333333,0.0005069525870108017,0.10647181628392484,3.8916691659887044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,2026-07-30T18:37:03.613384,False,False,1,0.3333333333333333,0.0004907192635828745,0.14822546972860126,3.8696963940224967,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,2026-07-30T18:37:03.614276,False,False,1,0.3333333333333333,0.0003662847695913951,0.1649269311064718,3.885825505580271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,2026-07-30T18:37:03.615185,False,False,1,0.3333333333333333,0.0003731577863668865,0.16701461377870563,3.917218018952721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,2026-07-30T18:37:03.616135,False,False,1,0.3333333333333333,0.0003395871812636501,0.10855949895615867,3.8952839525503347,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,2026-07-30T18:37:03.616893,False,False,1,0.3333333333333333,0.00027223334168238224,0.13778705636743216,3.861268803994345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,2026-07-30T18:37:03.617736,False,False,1,0.3333333333333333,0.000242298887832231,0.12943632567849686,3.8826368297830074,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,2026-07-30T18:37:03.618539,False,False,1,0.3333333333333333,0.00017688529006952048,0.1127348643006263,3.8817776311290353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,2026-07-30T18:37:03.619393,False,False,1,0.3333333333333333,0.00015803538960931175,0.1440501043841336,3.908309097086718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,2026-07-30T18:37:03.620914,False,False,1,0.3333333333333333,0.0001312473446801374,0.11691022964509394,3.7574382094967427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,2026-07-30T18:37:03.623894,False,False,1,0.3333333333333333,0.00015658308709482662,0.11691022964509394,3.8582181833644698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,2026-07-30T18:37:03.626498,False,False,1,0.3333333333333333,6.750326086021671e-05,0.12734864300626306,3.6804884235643796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,2026-07-30T18:37:03.627603,False,False,1,0.3333333333333333,7.92228774263892e-05,0.15657620041753653,3.775042820076388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,2026-07-30T18:37:03.628276,False,False,1,0.3333333333333333,0.0002890462138009929,0.08977035490605428,2.7723182535895683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
135,2026-07-30T18:37:03.629565,False,False,1,0.3333333333333333,0.00020516457371855593,0.10438413361169102,2.741412535091732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,2026-07-30T18:37:03.630521,False,False,1,0.3333333333333333,0.00024522090877484155,0.15866388308977036,3.7400490744639114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,2026-07-30T18:37:03.631349,False,False,1,0.3333333333333333,0.0012809222173971162,0.1837160751565762,3.378944689061695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,2026-07-30T18:37:03.632079,False,False,1,0.3333333333333333,0.0018081406465537424,0.16075156576200417,3.4412726291389677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,2026-07-30T18:37:03.632683,False,False,1,0.3333333333333333,0.001904138218120273,0.1837160751565762,3.3110184338401547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
